Номенклатура,Номенклатура.Код,янв. 2024,февр. 2024,март 2024,апр. 2024,май 2024,июнь 2024,июль 2024,авг. 2024,сент. 2024,окт. 2024,нояб. 2024,дек. 2024,янв. 2025,февр. 2025,март 2025,апр. 2025,май 2025,июнь 2025,июль 2025,авг. 2025,сент. 2025,окт. 2025,нояб. 2025,дек. 2025,янв. 2026,февр. 2026,март 2026,апр. 2026,май 2026,июнь 2026,июль 2026,авг. 2026,сент. 2026,Итого
 BA 47-60M (2ф) 16А 6кА С IEK !!!,яярп4533,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,5
 BA 47-60M (2ф) 25А 6кА С IEK !!!,ярп6181,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,3
 BA 47-60M (3ф) 16А 6кА C IEK !!!,щщщ0116826,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
 BA 47-60M (3ф) 20А 6кА С IEK !!!,яярп4829,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
 BA 47-60M (3ф) 25А 6кА B IEK !!!,MVA31-3-025-B,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2
 BA 47-60M (3ф) 32А 6кА B IEK !!!,яярп4773,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6
 BA 47-60M (3ф) 32А 6кА С IEK !!!,ярп4673,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4
 BA 47-60M (3ф) 40А 6кА С IEK !!!,яярп4792,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
 BA 47-60M (3ф) 50А 6кА С IEK !!!,ярп6188,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3
 BA 47-60M (3ф) 63А 6кА B IEK !!!,MVA31-3-063-B,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,5
 I1  выкл. 1кл. 10А КВАРТА ВС 10-1-0-КБ (200),200400001_,116,261,286,82,272,786,212,179,189,269,189,425,172,213,359,9,86,97,80,348,22,44,11,229,12,8,26,48,,12,27,21,25,5115
 I2  выкл. 2кл. 10А КВАРТА ВС 10-2-0-КБ (200) ,200400003_,82,56,219,111,118,354,56,12,3,270,15,121,129,134,16,45,37,11,18,79,21,9,4,30,,31,,28,,,,4,,2013
 I3  выкл. 1кл. с инд. 10А КВАРТА ВС 10-1-1-КБ (200) ,200400002_,20,42,50,,3,5,108,65,31,20,45,53,10,50,,,3,6,2,,,13,,1,,,,,,,,,3,530
 I4  выкл. 2кл. с инд.10А КВАРТА ВС 10-2-1-КБ (200),200400004_,6,6,10,2,9,1,1,12,7,10,,3,12,2,8,,4,1,13,,,1,,2,,,,,,,,2,,112
 I5 роз. с/у  10А КВАРТА РС 10-2-КБ (200),280300145_,70,149,110,160,90,4,33,34,51,16,152,52,85,,142,50,,6,2,6,53,3,7,19,2,30,,,1,,6,,,1333
 I6 А роз. с/у з/к с/ш 16А КВАРТА РСш 10-3-КБ (200) ,200400007_,5,21,53,24,121,337,,270,,100,49,50,32,169,,9,38,32,65,100,,,,,,,,,,14,,,,1489
 I6 роз. с/у з/к 16А КВАРТА РС 10-3-КБ (200),200400101_,94,170,660,215,302,506,64,537,62,44,225,573,348,410,228,,137,49,80,678,50,92,6,36,4,22,4,18,,1,11,36,,5662
 I7  роз. 2-я с/у  10А КВАРТА РС 12-2-КБ (180),280300229_,40,130,88,241,7,348,25,27,148,158,175,58,142,7,118,-1,7,34,23,24,44,5,49,4,8,30,4,,3,,20,18,,1984
 I8  роз. 2-я с/у з/к  16А)КВАРТА РС 12-3-КБ (160),280300146_,62,124,274,138,369,413,291,168,165,295,309,146,23,73,217,143,27,94,113,110,4,53,25,22,,153,,70,20,122,33,,5,4061
 I9 роз. с/у з/к 16А IP44 КВАРТА РСб 10-3-КБ (160),200400249_,9,8,,37,31,,4,27,,30,,10,32,,20,,,,,,,,2,,,,2,,,,,,,212
" LED A60 ""ECO"" 11w 230v 3000K E27 IEK(1)",081100277_,13,32,15,10,,,20,,20,8,,,3,,6,10,20,6,,20,1,,2,25,,,,,20,,1,,,232
" LED A60 ""ECO"" 11w 230v 4000K E27 IEK(1)",081100278_,10,24,,1,10,2,,38,15,20,,,10,,,,10,20,,3,2,,,27,2,10,,4,,,,20,,228
 LED ДВО Опал 36w/2800lm 595x595x10 6500K IP20 IEK (драйвера приобретаются отдельно),150100494_,,,,,,,,,,,,,,,,,,,,,,8,,,,,6,,,,,,,14
 LED Прожектор  50w 6500K IP65 (СДО07-50)) IEK (1)*,081100309_,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
 LED Прожектор 100W 6500K IP65  (СДО07-100) IEK (1),081100598_,,8,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
 ВКИ-211 3Р 6А 230\400В IP40 IEK (10/120),130900014_,9,,4,5,2,2,5,20,3,7,10,7,15,,5,5,2,2,,8,22,,,1,1,1,1,2,2,,3,6,2,152
 ВКИ-216 3Р 10А 230\400В IP40 IEK (10/120),130900013_,4,16,3,7,6,13,20,19,19,8,27,18,17,1,10,5,,5,2,,33,3,,3,,2,2,4,1,1,,26,,275
 Выключатель 1-кл. о/у белый IP55 TORS IEK (1/60),030201469_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,38,22,8,71
 Выключатель 1-кл. о/у графит IP55 TORS IEK (1/60),030201460_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,21,64,11,106
 Выключатель 1-кл. о/у серо-белый IP55 TORS IEK (1/60),030201478_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,15,27,32,82
 Выключатель 2-кл. о/у белый IP55 TORS IEK (1/60),030201470_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,9,,17
 Выключатель 2-кл. о/у графит IP55 TORS IEK (1/60),030201461_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,9,6,5,33
 Выключатель 2-кл. о/у серо-белый IP55 TORS IEK (1/60),030201479_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,11,17,3,35
 Выключатель 2-кл. проходной о/у графит IP55 TORS IEK (1/80),030201466_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,34,46
 Выключатель 2-кл. проходной о/у серо-белый IP55 TORS IEK (1/80),030201484_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4
 Выключатель кнопочный о/у белый IP55 TORS IEK (1/60),030201477_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3
 Выключатель кнопочный о/у графит IP55 TORS IEK (1/60),030201468_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,1,8
 Выключатель кнопочный о/у серо-белый IP55 TORS IEK (1/60),030201486_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,10
" ЗВИ   3 ПВХ (1,0-2,5мм ² 3А) 12 пар IEK (10)",130300107_,,,,,,,,,,,,,,,,,10,,,,,2,,,,5,,4,1,,,,,22
" ЗВИ   5 ПВХ (1,5-4мм ² 5А) 12 пар IEK (10)",130300037_,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,30
" ЗВИ  10 ПВХ (2,5-6мм ² 10А) 12 пар (2 шт/блистер) IEK (50)",130300605_,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,11,,,,,,13
 ЗВИ  15 ПВХ (4-10мм ² 15А) 12 пар IEK (10),130300108_,,,6,2,60,2,,,,2,12,20,6,,,,,18,,,5,,2,9,,,,1,40,7,,,,192
 ЗВИ  60 ПВХ (6-16мм ² 60А) 12 пар IEK (10),130300038_,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
 ЗВИ 150 ПВХ (16-35мм ² 150А) 12 пар IEK (10),130300105_,,1,,,,1,5,6,,,,,,,,,,,,,,12,,,,,,,,,,,,25
 ЗНИ  2.5мм ² (24А) серый  IEK (50),130300223_,4,25,,,,,,,,,,,,,,,,20,8,2,,,,,,,,,,3,5,,,67
 ЗНИ  4мм ² (35А) серый IEK(60),130300041_,290,75,,110,10,,,,,,,,,,,,,,,,,,30,10,,2,,,100,3,5,,,635
 ЗНИ  6мм ²  серый IEK (20),130300042_,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
 ЗНИ 10PEN 10мм2 (JXB-земля) IEK E-PRO,130300227_,,,5,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280
 ЗНИ 10мм ² (70А) серый  IEK (40),130300039_,,,,,,,,,,,,,,,,,,3,,,,,,,,,3,,,7,26,,,39
 ЗНИ 10мм ² (70А) синий  IEK (40),130300233_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
 ЗНИ 35мм ² (125) серый  IEK (30),130300040_,,,,,,4,,4,,,,,,,,4,,,,,,,,,,,,,,,,,,12
 Кнопка управления модульная КМУ-11 IEK (12/144),130200085_,1,,3,,15,20,,1,3,6,,18,2,2,,,5,11,2,1,15,,2,1,,,,,2,5,2,12,2,131
 Контактор КМ20-20МР АС KARAT IEK !!!,MKK12-20-20,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2
 Контактор КМИ-10910  9А  110В (1вел) IEK (1/50),яяяярп5518,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,6
 Контактор КМИ-10910  9А  230В (1вел) IEK (1/50),120100001_,53,129,92,80,76,70,157,103,114,101,103,70,118,147,169,84,106,95,96,83,100,249,25,87,28,50,34,196,27,79,48,20,71,3060
 Контактор КМИ-10910  9А  400В (1вел) IEK (1/50),120100032_,15,5,,10,4,31,23,12,21,22,12,6,12,8,19,2,16,16,3,10,3,16,4,7,5,7,3,9,2,15,1,1,1,321
 Контактор КМИ-11210 12А 230В (1вел) IEK (1/50),120100002_,112,67,132,94,53,139,65,100,157,91,123,63,66,156,99,74,137,65,86,51,87,77,51,78,18,40,67,133,73,70,33,48,36,2741
 Контактор КМИ-11210 12А 400В (1вел) IEK (1/50),120100033_,8,3,,,30,10,10,,16,14,18,,11,9,26,2,3,4,10,24,,10,7,14,57,,7,8,45,1,6,7,9,369
 Контактор КМИ-11810 18А 230В (1вел) IEK (1/50),120100004_,60,90,80,133,177,108,237,199,206,213,188,169,205,161,103,48,103,105,127,123,114,125,122,159,59,47,87,140,113,67,37,57,109,4071
 Контактор КМИ-11810 18А 400В (1вел) IEK (1/50),120100034_,6,20,21,22,13,11,56,,70,22,9,37,11,38,44,9,32,8,7,29,27,24,10,28,13,3,,28,5,14,36,31,11,695
 Контактор КМИ-22510 25А 230В (2вел) IEK (1/50),120100006_,199,255,164,203,162,177,183,266,273,236,278,115,203,334,160,147,246,110,150,168,163,156,228,272,75,128,94,190,128,138,102,189,98,5990
 Контактор КМИ-22510 25А 400В (2вел) IEK (1/50),120100035_,36,42,18,7,25,17,92,52,33,49,28,83,66,87,49,23,32,21,32,52,85,54,25,59,89,49,23,39,35,22,28,47,15,1414
 Контактор КМИ-23210 32А 230В (2вел) IEK (1/50),120100030_,125,134,64,47,100,91,141,120,209,148,132,138,149,178,112,70,115,55,102,140,131,179,128,142,129,67,39,140,126,91,94,136,72,3844
 Контактор КМИ-23210 32А 400В (2вел) IEK (1/50),120100036_,43,21,13,14,30,20,46,26,10,20,11,35,41,24,53,15,27,28,45,26,63,28,10,21,21,40,57,36,18,30,37,33,43,985
 Контактор КМИ-34012 40А 230В (3вел) IEK (1/20),120100011_,132,35,61,52,31,68,35,71,74,52,48,38,103,58,66,28,38,46,54,42,67,35,38,58,29,57,29,52,78,26,23,61,24,1709
 Контактор КМИ-34012 40А 400В (3вел) IEK (1/20),120100037_,20,36,7,11,1,8,18,15,26,26,20,26,22,30,17,2,3,4,7,10,18,17,17,2,27,14,17,13,7,14,11,21,11,498
 Контактор КМИ-35012 50А 230В (3вел) IEK (1/20),120100013_,15,18,39,32,33,11,28,51,37,42,66,26,25,71,6,32,26,6,26,56,50,30,39,25,54,9,10,22,26,27,20,13,19,990
 Контактор КМИ-35012 50А 400В (3вел) IEK (1/20),120100038_,7,22,2,1,,2,3,1,4,2,3,1,10,4,,6,3,4,2,5,,14,12,3,3,11,4,1,3,6,1,6,,146
 Контактор КМИ-46512 65А 230В (4вел) IEK (1/20),120100118_,49,41,40,51,56,23,42,40,80,30,57,91,48,27,46,36,47,33,46,49,20,25,37,68,22,132,29,58,69,136,14,32,30,1604
 Контактор КМИ-46512 65А 400В (4вел) IEK (1/20),120100119_,19,12,12,5,14,8,7,15,22,15,14,44,8,42,20,12,9,15,7,44,25,15,23,5,10,30,22,13,11,32,12,30,16,588
 Контактор КМИ-48012 80А 230В (4вел) IEK (1/16),120100041_,20,13,14,24,32,19,2,24,6,23,30,9,37,9,23,17,13,19,18,38,19,32,12,65,24,10,13,14,31,25,13,28,20,696
 Контактор КМИ-48012 80А 400В (4вел) IEK (1/16),120100042_,4,8,6,5,5,11,2,10,3,3,,14,8,4,6,14,3,,1,7,,6,4,14,1,107,8,,7,3,1,14,4,283
 Контактор КМИ-49512 95А 230В (4вел) IEK (1/16),120100016_,32,154,11,20,36,55,32,61,11,49,31,26,52,44,59,32,20,70,33,39,22,78,16,49,27,12,16,16,44,22,16,33,11,1229
 Контактор КМИ-49512 95А 400В (4вел) IEK (1/16),120100081_,13,14,2,16,11,5,1,25,3,5,4,9,10,12,14,19,9,13,13,16,11,14,43,,17,25,28,1,13,33,3,8,16,426
 Контактор КМИп-10910 09А 24В/АС3 1НО IEK !!!,ст-9951480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
" Лоток перфорированный (100х100х3000) (0,7 мм) IEK (6)",280300128_,84,453,99,315,129,642,96,174,690,513,207,150,93,,,,240,57,51,312,357,60,30,165,84,24,6,18,,24,,,66,5139
" Лоток перфорированный (100х200х3000) (0,8 мм) IEK (6)",280300034_,798,135,33,1770,186,240,153,144,87,435,90,213,96,123,114,135,87,102,327,132,,63,132,105,63,,318,63,60,78,51,36,12,6381
 Лоток перфорированный (100х300х3000) (1 мм) IEK (6),280300035_,30,174,60,852,48,195,132,3,345,84,138,36,,33,,342,75,39,9,6,,3,51,3,162,-57,51,,156,,,12,45,3027
" Лоток перфорированный (100х400х3000) (1,2 мм) IEK (6)",280300036_,45,,15,150,3,87,36,81,150,,21,3,147,60,42,117,6,3,,9,9,9,,,6,,15,75,,,,,,1089
" Лоток перфорированный (50 х50х3000) (0,7 мм) IEK (6)",280300086_,2082,1485,1509,3315,1437,1914,1227,1101,1086,399,1005,874,429,840,672,714,999,354,258,615,645,174,231,435,120,312,183,105,342,6,60,156,54,25138
" Лоток перфорированный (50х100х3000) (0,7 мм) IEK (6)",280300012_,1785,5293,3897,4542,4572,3228,2649,2028,2871,5838,2583,732,90,279,105,,,810,507,1170,618,351,576,279,528,246,339,339,105,222,600,156,528,47866
" Лоток перфорированный (50х150х3000) (0,7 мм) IEK (6)",280300103_,225,220,174,567,165,492,528,180,564,276,573,69,222,522,243,213,186,372,519,252,249,696,120,528,237,63,273,21,159,111,279,192,423,9913
" Лоток перфорированный (50х200х3000) (0,7 мм) IEK (6)",280300013_,834,1293,1578,1263,3166,2805,1011,585,528,1713,1272,825,141,285,159,225,618,729,1188,735,765,459,174,471,726,198,75,168,96,255,114,333,318,25105
" Лоток перфорированный (50х300х3000) (0,8 мм) IEK (6)",280300030_,147,606,1107,219,711,132,387,192,411,60,441,513,201,108,255,648,27,,207,540,186,222,231,186,210,,108,24,15,30,15,174,213,8526
 Лоток перфорированный (50х400х3000) (1 мм) IEK (6),280300031_,57,228,135,288,120,39,69,,24,528,69,,279,102,,156,177,21,126,72,24,51,21,150,,42,,12,21,,3,,,2814
" Лоток перфорированный (50х500х3000) (1,2 мм) IEK (6)",280300028_,,39,162,42,30,12,,216,,3,3,105,12,,120,,,,3,,,,,,,,,,,27,,6,,780
 Лоток проволочный (50х80х3000) IEK (6),280300083_,36,174,96,105,240,21,174,225,189,105,27,42,9,81,105,69,72,,33,39,24,42,102,63,,36,12,18,114,,,75,27,2355
 Лоток проволочный (60х100х3000) IEK (6),280300084_,273,51,402,219,201,531,153,534,30,30,669,,15,,144,762,3,,,48,282,303,210,354,174,126,66,234,192,12,,153,156,6327
 Лоток проволочный (60х200х3000) IEK (6),280300085_,213,420,150,621,189,147,249,75,312,459,105,321,99,486,480,171,303,375,270,579,417,237,507,468,162,402,12,261,108,213,,93,90,8994
 Лоток проволочный (60х300х3000) IEK (6),280300088_,117,471,39,-3,126,72,18,,204,87,33,60,294,,9,36,180,30,30,117,21,171,147,42,3,81,,,24,,135,,126,2670
 Наконечник медно-луженный JG -   6  IEK (600),260100138_,406,563,467,1142,1189,232,451,2615,286,2025,927,1329,770,2175,536,1388,851,1911,409,1241,1451,1475,1209,221,18,872,989,1087,1022,1710,1567,1501,1127,35162
 Наконечник медно-луженный JG -  10  IEK (400),260100153_,871,1611,577,1631,2796,1785,2883,2132,1773,3795,1788,3070,2192,11,540,2089,1664,1763,2039,3129,2292,2491,1723,2952,1046,1043,1420,1292,1452,1421,2780,2900,1154,62105
 Наконечник медно-луженный JG -  16  IEK (200),260100165_,2019,2716,2018,3948,5669,5814,3438,5056,6246,3491,7875,7612,1960,6601,2157,2797,4031,3134,2862,2549,3784,4633,3385,3553,1707,2309,3798,2693,5124,3575,4352,6224,2513,129643
 Наконечник медно-луженный JG -  25  IEK (200),260100167_,2573,1654,1279,2318,2467,1024,3023,3108,1585,2470,2129,3495,4250,2830,1671,2082,3054,2795,2564,1785,2572,2922,3371,3577,1736,1220,2321,1853,2643,2138,2982,3787,2387,81665
 Наконечник медно-луженный JG -  35  IEK (100),260100158_,1123,1895,2219,1609,1187,1170,1395,2455,3983,1642,3456,1625,1972,1803,1582,2097,5360,3230,2020,1349,5108,4084,1557,2369,1179,1494,1684,2629,1863,1688,1602,3656,2023,74108
 Наконечник медно-луженный JG -  50  IEK (100),260100168_,2048,1931,1120,1545,1358,1426,2132,1605,1528,1226,1861,1585,1453,1358,1097,1682,2721,3742,1127,1793,2551,2057,2945,1705,1007,1976,2461,2060,1090,1870,2001,2469,991,59521
 Наконечник медно-луженный JG -  70  IEK (50),260100169_,,2336,410,942,1507,945,2131,609,1142,2031,1337,1400,1747,789,1084,811,1442,990,996,1310,2861,1489,1592,1706,676,526,727,1223,1033,1263,1299,1241,943,40538
 Наконечник медно-луженный JG -  95  IEK (50),260100140_,907,520,286,498,1034,334,917,989,891,1144,967,857,510,516,636,1110,773,564,461,885,2089,918,834,711,38,158,561,990,1068,496,1520,1754,499,26435
 Наконечник медно-луженный JG - 120  IEK (30),260100157_,648,311,190,225,347,488,312,495,408,600,661,832,450,296,777,431,272,601,676,881,1477,475,724,653,705,374,453,635,283,294,766,459,401,17600
 Наконечник медно-луженный JG - 150  IEK (25),260100155_,369,13,176,86,370,716,659,66,501,370,385,182,307,173,152,199,631,304,367,467,588,320,252,590,,160,177,271,670,184,389,658,653,11405
 Наконечник медно-луженный JG - 240  IEK (20),260100154_,171,227,233,261,334,179,295,228,9,216,724,404,11,,484,178,129,312,322,274,488,251,624,474,109,85,125,426,417,439,348,560,616,9953
 Переключатель 1-кл. о/у белый IP55 TORS IEK (1/60),030201476_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,8,54,80
 Переключатель 1-кл. о/у графит IP55 TORS IEK (1/60),030201467_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,11,13,9,41
 Переключатель 1-кл. о/у серо-белый IP55 TORS IEK (1/60),030201485_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,9
 Переключатель ANC-22-2 (зеленый неон на 2 полож)  IEK (10/200),130900012_,52,34,1,9,23,69,20,29,25,41,47,3,36,2,8,17,30,19,106,23,35,24,57,10,5,12,15,,8,22,3,61,7,853
 Переключатель ANCLR 22-3 (зеленый неон на 3 полож.) IEK (10/200),130900006_,26,,1,6,11,4,,3,30,,,20,,19,4,21,2,4,15,26,13,10,22,6,2,4,3,32,,22,4,1,2,313
 Переключатель ANCLR 22-3 (красный неон на 3 полож.) IEK (10/200),130900007_,,,,15,9,,,,3,,,4,,10,1,,,6,,,,1,,,,,3,,,,6,,,58
" Переключатель LAY5-BD33 3 положения ""I-0-II"" стандарт ручка ИЕК (1/20)",010500122_,31,33,31,108,26,51,25,106,94,98,73,159,44,58,92,74,63,59,82,49,159,112,48,93,58,164,31,162,101,57,64,70,31,2506
" Переключатель LAY5-BW8465 ""I-O"" сдвоенная с подсветкой IEK !!!",ярп5852,,,,,,,,,,,,,,,,,,50,10,,,,,,,,,,,,,,,60
" Переключатель кулачковый ПКП25-33 /О 25А""1-0-2""3Р/400В  IEK",270300134_,9,15,3,4,1,9,1,,,,1,,,2,3,1,10,2,2,,,5,3,,,,,,,,,,,71
" Пускатель ПРК32  2,5-4А 660В IEK (1) !!!",120100068_,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
 Пускатель ПРК32-10 In=10A Ir=6-10A Ue 660В IEK (1/50),120100070_,8,3,1,4,3,,7,4,4,10,22,1,26,2,6,1,20,9,,,,,2,2,6,19,1,5,8,22,,1,,197
 Пускатель ПРК32-18 In=18A Ir=13-18A Ue 660В IEK (1/50),120100072_,9,3,,,13,1,5,4,,14,6,1,2,4,,4,1,10,4,,,10,8,2,2,2,3,9,10,,4,16,8,155
 Пускатель ПРК32-25 In=25A Ir=20-25A Ue 660В IEK (1/50),120100073_,4,,,,,7,6,4,10,1,3,,9,1,1,2,5,2,8,2,3,,8,2,,8,,7,3,1,,2,2,101
