№,Код 1с,Артикул поставщика,Наименование,Мин. разр. к отгр.
482,200400023_,ERO10-K01-10-DC,I22 роз. о/у 10А ОКТАВА РС 20-2-0-ОБ (36/432),36
483,200400024_,ERO11-K01-16-DC,I23 роз. о/у з/к 16А ОКТАВА РС 20-3-0-ОБ (30/360),30
484,200400025_,ERO20-K01-10-DC,I24 роз. 2-я о/у 10А ОКТАВА РС 22-2-0-ОБ (24/288),24
485,200400026_,ERO21-K01-16-DC,I25 роз. 2-я о/у з/к 16А ОКТАВА РС 22-3-0-ОБ (18/216),18
486,200400029_,EVMP10-K01-10-54-EC,I26 выкл 1кл о/у белый IP54 ГЕРМЕС IEK ВС20-1-0-ГПБ  (10/100),10
487,200400030_,EVMP20-K01-10-54-EC,I27 выкл 2кл о/у белый IP54 ГЕРМЕС IEK ВС20-2-0-ГПБ  (10/100),10
488,200400027_,ERMP12-K03-16-54-EC,I28 роз з/к о/у дымчатый IP54 ГЕРМЕС IEK РСб20-3-ГПБд  (10/100),10
489,200400028_,ERMP22-K03-16-54-EC,I29 роз 2-я з/к о/у дымчатый IP54 ГЕРМЕС IEK РСб22-3-ГПБд  (5/50),5
490,ярп40257,EVA10-K03-10-54,Выключатель 1кл о/у 10А IP54 AQUATIC ВС-20-1-0-А IEK,10
491,ярп40260,EVA20-K03-10-54,Выключатель 2кл. о/у 10А IP54 AQUATIC ВС-20-2-0-А IEK,10
492,280300644_,EVA14-K03-10-54,Выключатель кнопочный 1кл. о/у 10А IP54 AQUATIC ВС-20-1-3-А IEK,10
493,280300645_,EVA12-K03-10-54,Выключатель проходной 1кл о/у 10А IP54 AQUATIC ВС-20-1-2-А IEK,10
494,ярп40255,ERA12-K03-16-54,Розетка 1-ая з/к о/у 16А IP54 AQUATIC РСш12-2-А IEK,10
495,ярп40256,ERA22-K03-16-54,Розетка 2-ая з/к о/у 16А IP54 AQUATIC РСш22-2-А IEK,5
496,030201031_,BR-R16-16-44-K47,BRITE Розетка 1-я с/з с/щ и крышкой 16А IP44 РСбш10-3-44-БрА алюминий IEK,1
497,030200908_,BR-VK10-0-K47,"Вывод кабеля ""BRITE"" алюминий (1/200)",1
498,030200777_,BR-V13-0-10-K47,"Выкл 1-кл перекрестный  10А б/рамки ""BRITE"" алюминий (1/100)",1
499,030200407_,BR-V10-0-10-K47,"Выкл 1-кл. 10А б/рамки ""BRITE"" алюминий (1/100)",1
500,030200412_,BR-V12-0-10-K47,"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" алюминий (1/100)",1
501,030200867_,BR-V12-1-10-K47,"Выкл 1-кл. прох. с инд б/рамки 10А ""BRITE"" алюминий (1/100)",1
502,030200408_,BR-V10-1-10-K47,"Выкл 1-кл. с инд. б/рамки ""BRITE"" алюминий (1/100)",1
503,030200409_,BR-V20-0-10-K47,"Выкл 2-кл. 10А б/рамки ""BRITE"" алюминий (1/100)",1
504,030200419_,BR-V22-0-10-K47,"Выкл 2-кл. прох. б/рамки ""BRITE"" алюминий (1/100)",1
505,030200410_,BR-V20-1-10-K47,"Выкл 2-кл. с инд. б/рамки ""BRITE"" алюминий (1/100)",1
506,030200740_,BR-V30-0-10-K47,"Выкл 3-кл. 10А б/рамки ""BRITE"" алюминий (1/100)",1
507,030200974_,BR-V14-0-10-K47,"Выкл. 1-кл. самовозвратн. 10А ""BRITE"" алюминий (1/100)",1
508,030200946_,BR-V15-0-10-K47,"Выкл. жалюзи 10А ""BRITE"" алюминий (1/100)",1
509,030200965_,BR-MS10-N-150-05-K47,"Датчик движения ""BRITE"" алюминий (1/80)",1
510,030200889_,BR-PL10-K47,"Заглушка c суппортом ""BRITE"" алюминий (1/200)",1
511,030200955_,BR-FL20-K47,"Подсветка LED встр. ""BRITE"" алюминий (1/100)",1
512,030200415_,BR-M12-K47,"Рамка 1-мест. ""BRITE"" алюминий (1/100)",1
513,030200416_,BR-M22-K47,"Рамка 2-мест. ""BRITE"" алюминий (1/100)",1
514,030200417_,BR-M32-K47,"Рамка 3-мест. ""BRITE"" алюминий (1/100)",1
515,030200418_,BR-M42-K47,"Рамка 4-мест. ""BRITE"" алюминий (1/100)",1
516,030200756_,BR-M52-K47,"Рамка 5-мест. ""BRITE"" алюминий (1/100)",1
517,030200869_,BR-K20-1-K47,"Роз 2-ая комп. RJ45 кат.5E б/рамки ""BRITE"" алюминий (1/100)",1
518,030200868_,BR-R26-16-44-K47-F,"Роз 2-я с кр.  16А в сб IP44 ""BRITE"" алюминий (1/100)",1
519,030200540_,BR-A10-O-K47,"Роз TV оконечная  б/рамки ""BRITE"" алюминий (1/100)",1
520,030200784_,BR-KT20-O-1-K47,"Роз. 2-я RJ11+RJ45 кат.5E б/рамки ""BRITE"" алюминий (1/100)",1
521,030200529_,BR-AK20-1-K47,"Роз. 2-я TV+RJ45 кат.5E б/рамки ""BRITE"" алюминий (1/100)",1
522,030200984_,BR-AF20-O-K47,"Роз. 2-я TV+SAT б/рамки ""BRITE"" алюминий (1/100)",1
523,030200413_,BR-R21-16-K47-F,"Роз. 2-я с з/к без з/ш 16А в сборе ""BRITE"" алюминий (1/100)",1
524,030200414_,BR-R24-16-K47-F,"Роз. 2-я с з/к/ш 16А в сборе ""BRITE"" алюминий (1/100)",1
525,030200938_,BR-H10-K47,"Роз. HDMI б/рамки ""BRITE"" алюминий (1/100)",1
526,030200746_,BR-A10-P-K47,"Роз. TV проходная б/рамки ""BRITE"" алюминий (1/100)",1
527,030200915_,BR-U21-D31-K47,"Роз. USB A+A 3,1А б/рамки ""BRITE"" алюминий (1/80)",1
528,030200765_,BR-U22-018-K47,"Роз. USB A+C 18Вт б/рамки ""BRITE"" алюминий (1/80)",1
529,030200979_,BR-S40-K47,"Роз. аудио 4-мест. ""BRITE"" алюминий (1/100)",1
530,030200527_,BR-R10-10-K47,"Роз. без з/к 10А б/рамки ""BRITE"" алюминий (1/100)",1
531,030200411_,BR-K10-1-K47,"Роз. комп. RJ45 кат.5E б/рамки ""BRITE"" алюминий (1/100)",1
532,030200528_,BR-R11-16-K47,"Роз. с з/к без з/ш 16А б/рамки ""BRITE""  алюминий  (1/100)",1
533,030200969_,BR-R14-16-U21-D21-K47,"Роз. с з/к с з/ш 16А с USB A+A 2,1А б/рамки ""BRITE"" алюминий (1/80)",1
534,030200764_,BR-R14-16-U21-D31-K47,"Роз. с з/к с з/ш 16А с USB A+A 3,1А б/рамки ""BRITE"" алюминий (1/80)",1
535,030200950_,BR-R14-16-U22-018-K47,"Роз. с з/к с з/ш 16А с USB A+C 18Вт б/рамки ""BRITE"" алюминий (1/80)",1
536,030200923_,BR-R16-16-K47,"Роз. с з/к с з/ш с кр. 16А IP20 б/рамки ""BRITE"" алюминий (1/100)",1
537,030200406_,BR-R14-16-K47,"Роз. с з/к/ш 16А б/рамки ""BRITE"" алюминий (1/100)",1
538,030200987_,BR-D20-0600-K47,"Светорег. пов-наж. 600Вт ""BRITE"" алюминий (1/80)",1
539,030200960_,BR-RT11-K47,"Термостат с инд. ""BRITE"" алюминий (1/80)",1
540,BR-VK10-0-K10,BR-VK10-0-K10,BRITE Вывод кабеля МВ10-БрКр бежевый IEK,1
541,BR-R16-16-K10,BR-R16-16-K10,BRITE Розетка 1-местная с заземлением с защитными шторками и крышкой 16А IP20 бежевый IEK,1
542,BR-RT11-K10,BR-RT11-K10,BRITE Термостат электронный с инд. ТС10-1-БрКр беж. IEK,1
543,030200828_,BR-V10-0-10-K10,"Выкл 1-кл. 10А б/рамки ""BRITE"" бежевый (1/100)",1
544,030201018_,BR-V13-0-10-K10,"Выкл 1-кл. перекр 10А б/рамки ""BRITE"" бежевый (1/100)",1
545,030200833_,BR-V12-0-10-K10,"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" бежевый (1/100)",1
546,030200829_,BR-V10-1-10-K10,"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" бежевый (1/100)",1
547,030200830_,BR-V20-0-10-K10,"Выкл 2-кл. 10А б/рамки ""BRITE"" бежевый (1/100)",1
548,030200840_,BR-V22-0-10-K10,"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" бежевый (1/100)",1
549,030200831_,BR-V20-1-10-K10,"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" бежевый (1/100)",1
550,030200841_,BR-V30-0-10-K10,"Выкл 3-кл. 10А б/рамки ""BRITE"" бежевый (1/100)",1
551,030200846_,BR-V15-0-10-K10,"Выкл жалюзи 10А б/рамки ""BRITE"" бежевый (1/100)",1
552,030200836_,BR-M12-K10,"Рамка 1-мест. ""BRITE"" бежевый (1/100)",1
553,030200837_,BR-M22-K10,"Рамка 2-мест. ""BRITE"" бежевый (1/100)",1
554,030200838_,BR-M32-K10,"Рамка 3-мест. ""BRITE"" бежевый (1/100)",1
555,030200839_,BR-M42-K10,"Рамка 4-мест. ""BRITE"" бежевый (1/100)",1
556,030201019_,BR-M52-K10,"Рамка 5-мест. ""BRITE"" бежевый (1/100)",1
557,030201020_,BR-R11-16-K10,"Роз. с з/к без з/ш 16А б/рамки ""BRITE"" бежевый (1/100)",1
558,030201017_,BR-R16-16-44-K10,"Роз. 1-мест. с з/к с з/ш 16А IP44 б/рамки ""BRITE"" бежевый (1/100)",1
559,030200834_,BR-R21-16-K10-F,"Роз. 2-мест. с з/к 16А в сборе ""BRITE"" ""BRITE"" бежевый (1/100)",1
560,030200835_,BR-R24-16-K10-F,"Роз. 2-я с з/к/ш 16А в сб. ""BRITE"" бежевый (1/100)",1
561,030200842_,BR-R26-16-44-K10-F,"Роз. 2-я с кр. 16А в сб IP44 ""BRITE"" бежевый (1/100)",1
562,030200845_,BR-H10-K10,"Роз. HDMI б/рамки ""BRITE"" бежевый (1/100)",1
563,030200844_,BR-A10-O-K10,"Роз. TV окон б/рамки ""BRITE"" бежевый (1/100)",1
564,030200843_,BR-K20-1-K10,"Роз. комп. 2-ая RJ45 кат.5E б/рамки ""BRITE"" бежевый (1/100)",1
565,030200832_,BR-K10-1-K10,"Роз. комп. RJ45 кат.5E б/рамки ""BRITE"" бежевый (1/100)",1
566,030200827_,BR-R14-16-K10,"Роз. с з/к/ш 16А б/рамки ""BRITE"" бежевый (1/100)",1
567,030200905_,BR-VK10-0-K01,"Вывод кабеля ""BRITE"" белый (1/200)",1
568,030200456_,BR-V13-0-10-K01,"Выкл 1-кл перекр 10А б/рамки ""BRITE"" белый (1/100)",1
569,030200514_,BR-V10-0-10-K01,"Выкл 1-кл. 10А б/рамки ""BRITE"" белый (1/100)",1
570,030200448_,BR-V10-0-10-K01-F,"Выкл 1-кл. 10А в сборе ""BRITE"" белый (1/100)",1
571,030200454_,BR-V12-0-10-K01,"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" белый (1/100)",1
572,030200455_,BR-V12-1-10-K01,"Выкл 1-кл. прох. с инд. 10А ""BRITE"" белый (1/100)",1
573,030200449_,BR-V10-1-10-K01,"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" белый (1/100)",1
574,030200515_,BR-V20-0-10-K01,"Выкл 2-кл. 10А б/рамки ""BRITE"" белый (1/100)",1
575,030200450_,BR-V20-0-10-K01-F,"Выкл 2-кл. 10А в сборе ""BRITE"" белый (1/100)",1
576,030200470_,BR-V22-0-10-K01,"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" белый (1/100)",1
577,030200451_,BR-V20-1-10-K01,"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" белый (1/100)",1
578,030200452_,BR-V30-0-10-K01,"Выкл 3-кл. 10А б/рамки ""BRITE"" белый (1/100)",1
579,030200970_,BR-V14-0-10-K01,"Выкл. 1-кл. самовозвратн. 10А ""BRITE"" белый (1/100)",1
580,030200774_,BR-V15-0-10-K01,"Выкл. жалюзи 10А ""BRITE"" белый (1/100)",1
581,030200961_,BR-MS10-N-150-05-K01,"Датчик движения ""BRITE"" белый (1/80)",1
582,030200886_,BR-PL10-K01,"Заглушка с суппортом ""BRITE"" белый (1/200)",1
583,030200951_,BR-FL20-K01,"Подсветка LED встр. ""BRITE"" белый (1/100)",1
584,030200463_,BR-M12-K01,"Рамка 1-мест. ""BRITE"" белый (1/100)",1
585,030200468_,BR-M12-44-K01,"Рамка 1-мест. IP44 ""BRITE"" белый (1/100)",1
586,030200464_,BR-M22-K01,"Рамка 2-мест. ""BRITE"" белый (1/100)",1
587,030200469_,BR-M22-44-K01,"Рамка 2-мест. IP44 ""BRITE"" белый (1/100)",1
588,030200465_,BR-M32-K01,"Рамка 3-мест. ""BRITE"" белый (1/100)",1
589,030200466_,BR-M42-K01,"Рамка 4-мест. ""BRITE"" белый (1/100)",1
590,030200753_,BR-M52-K01,"Рамка 5-мест. ""BRITE"" белый (1/100)",1
591,030200519_,BR-R26-16-44-K01-F,"Роз 2-я с кр. 16А в сб IP44 ""BRITE"" Белый (1/100)",1
592,030200782_,BR-KT20-O-1-K01,"Роз. 2-я RJ11+RJ45 кат.5E б/рамки ""BRITE"" белый (1/100)",1
593,030200520_,BR-AK20-1-K01,"Роз. 2-я TV+RJ45 кат.5E б/рамки ""BRITE"" белый (1/100)",1
594,030200980_,BR-AF20-O-K01,"Роз. 2-я TV+SAT б/рамки ""BRITE"" белый (1/100)",1
595,030200457_,BR-R20-10-K01-F,"Роз. 2-я без з/к/ш 10А в сборе ""BRITE"" белый (1/100)",1
596,030200518_,BR-R21-16-K01-F,"Роз. 2-я с з/к без з/ш 16А в сборе ""BRITE"" белый (1/100)",1
597,030200458_,BR-R24-16-K01-F,"Роз. 2-я с з/к/ш 16А в сборе ""BRITE"" белый (1/100)",1
598,030200935_,BR-H10-K01,"Роз. HDMI б/рамки ""BRITE"" белый (1/100)",1
599,030200462_,BR-A10-O-K01,"Роз. TV оконечная б/рамки ""BRITE"" белый (1/100)",1
600,030200988_,BR-A10-P-K01,"Роз. TV проходная б/рамки ""BRITE"" белый (1/100)",1
601,030200912_,BR-U21-D31-K01,"Роз. USB A+A 3,1А б/рамки ""BRITE"" белый (1/80)",1
602,030200568_,BR-U22-018-K01,"Роз. USB A+C 18Вт б/рамки ""BRITE"" белый (1/80)",1
603,030200975_,BR-S40-K01,"Роз. аудио 4-мест. ""BRITE"" белый (1/100)",1
604,030200516_,BR-R10-10-K01,"Роз. без з/к 10А б/рамки ""BRITE"" белый (1/100)",1
605,030200459_,BR-K20-1-K01,"Роз. комп. 2-ая RJ45 кат.5E б/рамки ""BRITE"" белый (1/100)",1
606,030200453_,BR-K10-1-K01,"Роз. комп. RJ45 кат.5E б/рамки ""BRITE"" белый (1/100)",1
607,030200990_,BR-K10-2-K01,"Роз. комп. RJ45 кат.6 б/рамки ""BRITE"" белый (1/100)",1
608,030200517_,BR-R14-16-K01-F,"Роз. с з/к  с з/ш 16А в сборе ""BRITE"" белый (1/100)",1
609,030200460_,BR-R11-16-K01,"Роз. с з/к без з/ш 16А б/рамки ""BRITE"" белый (1/100)",1
610,030200966_,BR-R14-16-U21-D21-K01,"Роз. с з/к с з/ш 16А USB A+A 2,1А б/рамки ""BRITE"" белый (1/80)",1
611,030200759_,BR-R14-16-U21-D31-K01,"Роз. с з/к с з/ш 16А USB A+A 3,1А б/рамки ""BRITE"" белый (1/80)",1
612,030200567_,BR-R14-16-U22-018-K01,"Роз. с з/к с з/ш 16А USB A+C 18Вт б/рамки ""BRITE"" белый (1/80)",1
613,030200920_,BR-R16-16-K01,"Роз. с з/к с з/ш с кр. 16А IP20 б/рамки ""BRITE"" белый (1/100)",1
614,030200461_,BR-R14-16-K01,"Роз. с з/к/ш 16А б/рамки ""BRITE"" белый (1/100)",1
615,030200467_,BR-R16-16-44-K01,"Роз. с з/к/ш с кр. 16А IP44 б/рамки ""BRITE"" белый (1/100)",1
616,030200773_,BR-D20-0600-K01,"Светорег. пов-наж. 600Вт ""BRITE"" белый (1/80)",1
617,030200956_,BR-RT11-K01,"Термостат с инд. ""BRITE"" белый (1/80)",1
618,030201012_,BR-R16-16-44-K53,BRITE Розетка 1-местная с заземлением с защитными шторками и крышкой 16А IP44 РСбш10-3-44-БрГ графит,1
619,030200910_,BR-VK10-0-K53,"Вывод кабеля ""BRITE"" графит (1/200)",1
620,030200779_,BR-V13-0-10-K53,"Выкл 1-кл перекрестный  б/рамки 10А ""BRITE"" графит (1/100)",1
621,030200472_,BR-V10-0-10-K53,"Выкл 1-кл. 10А б/рамки ""BRITE"" графит (1/100)",1
622,030200477_,BR-V12-0-10-K53,"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" графит (1/100)",1
623,030200874_,BR-V12-1-10-K53,"Выкл 1-кл. прох. с инд.  10А ""BRITE"" графит (1/100)",1
624,030200473_,BR-V10-1-10-K53,"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" графит (1/100)",1
625,030200474_,BR-V20-0-10-K53,"Выкл 2-кл. 10А б/рамки ""BRITE"" графит (1/100)",1
626,030200484_,BR-V22-0-10-K53,"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" графит (1/100)",1
627,030200475_,BR-V20-1-10-K53,"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" графит (1/100)",1
628,030200743_,BR-V30-0-10-K53,"Выкл 3-кл. 10А 10А б/рамки ""BRITE"" графит (1/100)",1
629,030200972_,BR-V14-0-10-K53,"Выкл. 1-кл. самовозвратн. 10А ""BRITE"" графит (1/100)",1
630,030200944_,BR-V15-0-10-K53,"Выкл. жалюзи 10А ""BRITE"" графит (1/100)",1
631,030200963_,BR-MS10-N-150-05-K53,"Датчик движения ""BRITE"" графит (1/80)",1
632,030200891_,BR-PL10-K53,"Заглушка c суппортом ""BRITE"" графит (1/200)",1
633,030200953_,BR-FL20-K53,"Подсветка LED встр. ""BRITE"" графит (1/100)",1
634,030200480_,BR-M12-K53,"Рамка 1-мест. ""BRITE"" графит (1/100)",1
635,030200481_,BR-M22-K53,"Рамка 2-мест. ""BRITE"" графит (1/100)",1
636,030200482_,BR-M32-K53,"Рамка 3-мест. ""BRITE"" графит (1/100)",1
637,030200483_,BR-M42-K53,"Рамка 4-мест. ""BRITE"" графит (1/100)",1
638,030200748_,BR-M52-K53,"Рамка 5-мест. ""BRITE"" графит (1/100)",1
639,030200542_,BR-A10-O-K53,"Роз TV оконечная  б/рамки ""BRITE"" графит (1/100)",1
640,030200785_,BR-KT20-O-1-K53,"Роз. 2-я RJ11+RJ45 кат.5E б/рамки ""BRITE"" графит (1/100)",1
641,030200535_,BR-AK20-1-K53,"Роз. 2-я TV+RJ45 кат.5E б/рамки ""BRITE"" графит (1/100)",1
642,030200982_,BR-AF20-O-K53,"Роз. 2-я TV+SAT б/рамки ""BRITE"" графит (1/100)",1
643,030200478_,BR-R21-16-K53-F,"Роз. 2-я с з/к без з/ш 16А в сборе ""BRITE"" графит (1/100)",1
644,030200479_,BR-R24-16-K53-F,"Роз. 2-я с з/к/ш 16А в сборе ""BRITE"" графит (1/100)",1
645,030200940_,BR-H10-K53,"Роз. HDMI б/рамки ""BRITE"" графит (1/100)",1
646,030200747_,BR-A10-P-K53,"Роз. TV проходная б/рамки ""BRITE"" графит (1/100)",1
647,030200917_,BR-U21-D31-K53,"Роз. USB A+A 3,1А б/рамки ""BRITE"" графит (1/80)",1
648,030200769_,BR-U22-018-K53,"Роз. USB A+C 18Вт б/рамки ""BRITE"" графит (1/80)",1
649,030200977_,BR-S40-K53,"Роз. аудио 4-мест. ""BRITE"" графит (1/100)",1
650,030200533_,BR-R10-10-K53,"Роз. без з/к 10А б/рамки ""BRITE"" графит (1/100)",1
651,030200476_,BR-K10-1-K53,"Роз. комп. RJ45 кат.5E б/рамки ""BRITE"" графит (1/100)",1
652,030200534_,BR-R11-16-K53,"Роз. с з/к без з/ш 16А б/рамки ""BRITE""  графит  (1/100)",1
653,030200781_,BR-R14-16-U21-D21-K53,"Роз. с з/к с з/ш 16А с USB A+A 2,1А б/рамки ""BRITE"" графит (1/80)",1
654,030200768_,BR-R14-16-U21-D31-K53,"Роз. с з/к с з/ш 16А с USB A+A 3,1А б/рамки ""BRITE"" графит (1/80)",1
655,030200948_,BR-R14-16-U22-018-K53,"Роз. с з/к с з/ш 16А с USB A+C 18Вт б/рамки ""BRITE"" графит (1/80)",1
656,030200925_,BR-R16-16-K53,"Роз. с з/к с з/ш с кр. 16А IP20 б/рамки ""BRITE"" графит (1/100)",1
657,030200471_,BR-R14-16-K53,"Роз. с з/к/ш 16А б/рамки ""BRITE"" графит (1/100)",1
658,030200875_,BR-K20-1-K53,"Розетка 2-ая компьютерная RJ45 кат.5E ""BRITE"" графит (1/100)",1
659,030200985_,BR-D20-0600-K53,"Светорег. пов-наж. 600Вт ""BRITE"" графит (1/80)",1
660,030200958_,BR-RT11-K53,"Термостат с инд. ""BRITE"" графит (1/80)",1
661,BR-VK10-0-K36,BR-VK10-0-K36,BRITE Вывод кабеля МВ10-БрЖ жемчуг IEK,1
662,030200775_,BR-V13-0-10-K36,"Выкл 1-кл перекрестный 10А б/рамки ""BRITE"" жемчуг (1/100)",1
663,030200420_,BR-V10-0-10-K36,"Выкл 1-кл. 10А б/рамки ""BRITE"" жемчуг (1/100)",1
664,030200425_,BR-V12-0-10-K36,"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" жемчуг (1/100)",1
665,030200870_,BR-V12-1-10-K36,"Выкл 1-кл. прох. с инд б/рамки 10А ""BRITE"" жемчуг (1/100)",1
666,030200421_,BR-V10-1-10-K36,"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" жемчуг (1/100)",1
667,030200422_,BR-V20-0-10-K36,"Выкл 2-кл. 10А б/рамки ""BRITE"" жемчуг (1/100)",1
668,030200433_,BR-V22-0-10-K36,"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" жемчуг (1/100)",1
669,030200423_,BR-V20-1-10-K36,"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" жемчуг (1/100)",1
670,030200739_,BR-V30-0-10-K36,"Выкл 3-кл. 10А  б/рамки ""BRITE"" жемчуг (1/100)",1
671,030200429_,BR-M12-K36,"Рамка 1-мест. ""BRITE"" жемчуг (1/100)",1
672,030200430_,BR-M22-K36,"Рамка 2-мест. ""BRITE"" жемчуг (1/100)",1
673,030200431_,BR-M32-K36,"Рамка 3-мест. ""BRITE"" жемчуг (1/100)",1
674,030200432_,BR-M42-K36,"Рамка 4-мест. ""BRITE"" жемчуг (1/100)",1
675,030200872_,BR-K20-1-K36,"Роз 2-ая комп. RJ45 кат.5E б/рамки ""BRITE"" жемчуг (1/100)",1
676,030200871_,BR-R26-16-44-K36-F,"Роз 2-я с кр. 16А в сб IP44 ""BRITE"" жемчуг (1/100)",1
677,030200513_,BR-A10-O-K36,"Роз TV оконечная  б/рамки ""BRITE"" жемчуг (1/100)",1
678,030200426_,BR-R21-16-K36-F,"Роз. 2-я с з/к без з/ш 16А в сборе ""BRITE"" жемчуг (1/100)",1
679,030200427_,BR-R24-16-K36-F,"Роз. 2-я с з/к/ш 16А в сборе ""BRITE"" жемчуг (1/100)",1
680,030200521_,BR-R10-10-K36,"Роз. без з/к 10А б/рамки ""BRITE"" жемчуг (1/100)",1
681,030200424_,BR-K10-1-K36,"Роз. комп. RJ45 кат.5E б/рамки ""BRITE"" жемчуг (1/100)",1
682,030200522_,BR-R11-16-K36,"Роз. с з/к без з/ш 16А б/рамки ""BRITE"" жемчуг (1/100)",1
683,030200428_,BR-R14-16-K36,"Роз. с з/к/ш 16А б/рамки ""BRITE"" жемчуг (1/100)",1
684,BR-R16-16-44-K46,BR-R16-16-44-K46,BRITE Розетка 1-местная с заземлением с защитными шторками и крышкой 16А IP44 РСбш10-3-44-БрС сталь,1
685,BR-R26-16-44-K46-F,BR-R26-16-44-K46-F,BRITE Розетка 2-местная с заземлением с защитными шторками и крышкой 16А в сборе IP44 сталь IEK,1
686,030200909_,BR-VK10-0-K46,"Вывод кабеля ""BRITE"" сталь (1/200)",1
687,030200778_,BR-V13-0-10-K46,"Выкл 1-кл перекрестный  б/рамки 10А ""BRITE"" сталь (1/100)",1
688,030200500_,BR-V10-0-10-K46,"Выкл 1-кл. 10А б/рамки ""BRITE"" сталь (1/100)",1
689,030200505_,BR-V12-0-10-K46,"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" сталь (1/100)",1
690,030200878_,BR-V12-1-10-K46,"Выкл 1-кл. прох. с инд. 10А ""BRITE"" сталь (1/100)",1
691,030200501_,BR-V10-1-10-K46,"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" сталь (1/100)",1
692,030200502_,BR-V20-0-10-K46,"Выкл 2-кл. 10А б/рамки ""BRITE"" сталь (1/100)",1
693,030200512_,BR-V22-0-10-K46,"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" сталь (1/100)",1
694,030200503_,BR-V20-1-10-K46,"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" сталь (1/100)",1
695,030200741_,BR-V30-0-10-K46,"Выкл 3-кл. 10А  б/рамки ""BRITE"" сталь (1/100)",1
696,030200973_,BR-V14-0-10-K46,"Выкл. 1-кл. самовозвратн. 10А ""BRITE"" сталь (1/100)",1
697,030200945_,BR-V15-0-10-K46,"Выкл. жалюзи 10А ""BRITE"" сталь (1/100)",1
698,030200964_,BR-MS10-N-150-05-K46,"Датчик движения ""BRITE"" сталь (1/80)",1
699,030200890_,BR-PL10-K46,"Заглушка c суппортом ""BRITE"" сталь (1/200)",1
700,030200954_,BR-FL20-K46,"Подсветка LED встр. ""BRITE"" сталь (1/100)",1
701,030200508_,BR-M12-K46,"Рамка 1-мест. ""BRITE"" сталь (1/100)",1
702,030200509_,BR-M22-K46,"Рамка 2-мест. ""BRITE"" сталь (1/100)",1
703,030200510_,BR-M32-K46,"Рамка 3-мест. ""BRITE"" сталь (1/100)",1
704,030200511_,BR-M42-K46,"Рамка 4-мест. ""BRITE"" сталь (1/100)",1
705,030200757_,BR-M52-K46,"Рамка 5-мест. ""BRITE"" сталь (1/100)",1
706,030200879_,BR-K20-1-K46,"Роз 2-ая комп. RJ45 кат.5E ""BRITE"" сталь (1/100)",1
707,030200541_,BR-A10-O-K46,"Роз TV оконечная  б/рамки ""BRITE"" сталь (1/100)",1
708,030200989_,BR-KT20-O-1-K46,"Роз. 2-я RJ11+RJ45 кат.5E б/рамки ""BRITE"" сталь (1/100)",1
709,030200532_,BR-AK20-1-K46,"Роз. 2-я TV+RJ45 кат.5E б/рамки ""BRITE"" сталь (1/100)",1
710,030200983_,BR-AF20-O-K46,"Роз. 2-я TV+SAT б/рамки ""BRITE"" сталь (1/100)",1
711,030200506_,BR-R21-16-K46-F,"Роз. 2-я с з/к без з/ш 16А в сборе ""BRITE"" сталь (1/100)",1
712,030200507_,BR-R24-16-K46-F,"Роз. 2-я с з/к/ш 16А в сборе ""BRITE"" сталь (1/100)",1
713,030200939_,BR-H10-K46,"Роз. HDMI б/рамки ""BRITE"" сталь (1/100)",1
714,030200742_,BR-A10-P-K46,"Роз. TV проходная б/рамки ""BRITE"" сталь (1/100)",1
715,030200916_,BR-U21-D31-K46,"Роз. USB A+A 3,1А б/рамки ""BRITE"" сталь (1/80)",1
716,030200767_,BR-U22-018-K46,"Роз. USB A+C 18Вт б/рамки ""BRITE"" сталь (1/80)",1
717,030200978_,BR-S40-K46,"Роз. аудио 4-мест. ""BRITE"" сталь (1/100)",1
718,030200530_,BR-R10-10-K46,"Роз. без з/к 10А б/рамки ""BRITE"" сталь (1/100)",1
719,030200504_,BR-K10-1-K46,"Роз. комп. RJ45 кат.5E б/рамки ""BRITE"" сталь (1/100)",1
720,030200531_,BR-R11-16-K46,"Роз. с з/к без з/ш 16А б/рамки ""BRITE"" сталь (1/100)",1
