Дата,Номер,Документ,Код,Номенклатура,Ед.,Склад,Количество
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200786_,"G003 Выкл. 1 кл с инд 10А механизм ""ARTGALLERY"" алюминий GAL0313 (10)  ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200788_,"G005 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" алюминий GAL0353 (10)  ",шт,Алматы,-9
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200789_,"G006 Роз. комп. RJ45 6A механизм ""ARTGALLERY"" алюминий GAL0386 (5)  ",шт,Алматы,-6
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200790_,"G007 Переключ. 1 кл механизм ""ARTGALLERY"" алюминий GAL0361 (10)    ",шт,Алматы,-9
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200791_,"G008 Перекрест. переключ. 1 кл ""ARTGALLERY"" алюминий GAL0371 (5)   ",шт,Алматы,-4
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200793_,"G010 Роз. с з/к с/ш 16A механизм ""ARTGALLERY"" алюминий GAL0345 (10)  ",шт,Алматы,-17
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200794_,"G011 Роз. TV оконечная механизм ""ARTGALLERY"" алюминий GAL0391 (5)   ",шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200795_,"G012 Рамка 1-ная ""ARTGALLERY"" алюминий GAL0301 (20)    ",шт,Алматы,-15
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200796_,"G013 Рамка 2-ная ""ARTGALLERY"" алюминий GAL0302 (10)    ",шт,Алматы,-30
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200797_,"G014 Рамка 3-ная ""ARTGALLERY"" алюминий GAL0303 (5)    ",шт,Алматы,-20
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200798_,"G015 Рамка 4-ная ""ARTGALLERY"" алюминий GAL0304 (5)    ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200799_,"G016 Рамка 5-ная ""ARTGALLERY"" алюминий GAL0305 (5)    ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200800_,"G017 Переключ. 2 кл механизм ""ARTGALLERY"" алюминий GAL0365 (10)    ",шт,Алматы,-9
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200801_,"G018 Рамка 1-ная IP44 ""ARTGALLERY"" алюминий GAL440301 (10)   ",шт,Алматы,-6
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200803_,"G020 Роз. с з/к с/ш с крышкой 16A механизм IP44 ""ARTGALLERY"" алюминий GAL440346 (10) ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200804_,"G021 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" алюминий GAL0315 (5)  ",шт,Алматы,-2
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200805_,"G022 Вывод кабеля механизм ""ARTGALLERY"" алюминий GAL0399 (5)   ",шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200806_,"G023 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" алюминий GAL0389 (5)  ",шт,Алматы,-4
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200807_,"G024 Роз. USB A+C 45Вт высокоскор.заряд., механизм ""ARTGALLERY"" алюминий GAL0329 (1)  ",шт,Алматы,-3
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200808_,"G025 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" алюминий GAL0323 (1)  ",шт,Алматы,-3
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200833_,"G050 Выкл. 1 кл 10А ""ARTGALLERY"" лотос GAL1311 (5)   ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200836_,"G053 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" лотос GAL1353 (5)  ",шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200840_,"G057 Перекрест. переключ. 1 кл ""ARTGALLERY"" лотос GAL1371 (5)   ",шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200842_,"G059 Роз. с з/к 16А механизм ""ARTGALLERY"" лотос GAL1343 (5)   ",шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200843_,"G060 Роз. с з/к с/ш 16А механизм ""ARTGALLERY"" лотос GAL1345 (5)  ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200845_,"G062 Роз. TV оконечная механизм ""ARTGALLERY"" лотос GAL1391 (5)  ",шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200847_,"G064 Рамка 2-ная ""ARTGALLERY"" лотос GAL1302 (5)    ",шт,Алматы,-9
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200848_,"G065 Рамка 3-ная ""ARTGALLERY"" лотос GAL1303 (5)    ",шт,Алматы,-20
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200850_,"G067 Рамка 5-ная ""ARTGALLERY"" лотос GAL1305 (5)    ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200852_,"G069 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" лотос GAL1315 (5)  ",шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200853_,"G070 Вывод кабеля механизм ""ARTGALLERY"" лотос GAL1399 (5)   ",шт,Алматы,-4
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200854_,"G071 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" лотос GAL1389 (5)  ",шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200856_,"G073 Роз. с з/к 16А механизм ""ARTGALLERY"" карбон GAL1043 (5)   ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200857_,"G074 Выкл. 1 кл 10А ""ARTGALLERY"" карбон GAL1011 (5)   ",шт,Алматы,-7
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200858_,"G075 Выкл. 1 кл с инд 10А механизм ""ARTGALLERY"" карбон GAL1013 (5)  ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200859_,"G076 Выкл. 2 кл 10А механизм ""ARTGALLERY"" карбон GAL1051 (5)   ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200860_,"G077 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" карбон GAL1053 (5)  ",шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200862_,"G079 Переключ. 1 кл механизм ""ARTGALLERY"" карбон GAL1061 (5)    ",шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200864_,"G081 Роз. 2-ная комп. RJ45+RJ45 6A механизм ""ARTGALLERY"" карбон GAL1088 (1)  ",шт,Алматы,-3
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200865_,"G082 Роз. с з/к с/ш 16А механизм ""ARTGALLERY"" карбон GAL1045 (5)  ",шт,Алматы,-6
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200868_,"G085 Рамка 1-ная ""ARTGALLERY"" карбон GAL1001 (10)    ",шт,Алматы,-28
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200869_,"G086 Рамка 2-ная ""ARTGALLERY"" карбон GAL1002 (5)    ",шт,Алматы,-29
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200870_,"G087 Рамка 3-ная ""ARTGALLERY"" карбон GAL1003 (5)    ",шт,Алматы,-20
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200871_,"G088 Рамка 4-ная ""ARTGALLERY"" карбон GAL1004 (5)    ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200872_,"G089 Рамка 5-ная ""ARTGALLERY"" карбон GAL1005 (5)    ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200873_,G090 Переключ. 2 кл механизм карбон GAL1065 (5)    ,шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200879_,"G096 Вывод кабеля механизм ""ARTGALLERY"" карбон    GAL1099 (5)",шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200882_,"G099 Рамка 1-ная ""ARTGALLERY"" золото GAL1601 (5)    ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200883_,"G100 Рамка 2-ная ""ARTGALLERY"" золото GAL1602 (5)    ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200884_,"G101 Рамка 3-ная ""ARTGALLERY"" золото GAL1603 (5)    ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200885_,"G102 Рамка 4-ная ""ARTGALLERY"" золото GAL1604 (5)    ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200886_,"G103 Рамка 5-ная ""ARTGALLERY"" золото GAL1605 (5)    ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200910_,"G127 Роз. с з/к 16А механизм ""ARTGALLERY"" мокко GAL0643 (10)   ",шт,Алматы,-20
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200912_,"G129 Выкл. 1 кл 10А ""ARTGALLERY"" мокко GAL0611 (10)   ",шт,Алматы,-20
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200913_,"G130 Выкл. 1 кл с инд 10А механизм ""ARTGALLERY"" мокко GAL0613 (10)  ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200914_,"G131 Выкл. 2 кл 10А механизм ""ARTGALLERY"" мокко GAL0651 (10)   ",шт,Алматы,-20
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200915_,"G132 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" мокко GAL0653 (10)  ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200916_,"G133 Роз. комп. RJ45 6A механизм, ""ARTGALLERY"" мокко GAL0686 (5)  ",шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200917_,"G134 Переключ. 1 кл механизм ""ARTGALLERY"" мокко GAL0661 (10)    ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200918_,"G135 Перекрест. переключ. 1 кл ""ARTGALLERY"" мокко GAL0671 (5)   ",шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200919_,"G136 Роз. 2-ная комп. RJ45+RJ45 6А механизм ""ARTGALLERY"" мокко GAL0688 (1)  ",шт,Алматы,-3
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200920_,"G137 Роз. TV оконечная механизм ""ARTGALLERY"" мокко GAL0691 (5)  ",шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200921_,"G138 Рамка 1-ная ""ARTGALLERY"" мокко GAL0601 (20)    ",шт,Алматы,-20
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200922_,"G139 Рамка 2-ная ""ARTGALLERY"" мокко GAL0602 (10)    ",шт,Алматы,-30
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200923_,"G140 Рамка 3-ная ""ARTGALLERY"" мокко GAL0603 (5)    ",шт,Алматы,-20
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200924_,"G141 Рамка 4-ная ""ARTGALLERY"" мокко GAL0604 (5)    ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200925_,"G142 Рамка 5-ная ""ARTGALLERY"" мокко GAL0605 (5)    ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200926_,"G143 Переключ. 2 кл механизм ""ARTGALLERY"" мокко GAL0665 (10)    ",шт,Алматы,-10
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200927_,"G144 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" мокко GAL0615 (5)  ",шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200929_,"G146 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" мокко GAL0689 (5)  ",шт,Алматы,-5
23.08.2024 17:08:27,20000091369,Расходная накладная 20000091369 от 23.08.2024,300200932_,"G149 Роз. с з/к с/ш с крышкой 16А механизм IP20 ""ARTGALLERY"" мокко GAL0646 (10) ",шт,Алматы,-10
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200785_,"G002 Выкл. 1 кл 10А ""ARTGALLERY"" алюминий GAL0311 (10)   ",шт,Алматы,-11
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200786_,"G003 Выкл. 1 кл с инд 10А механизм ""ARTGALLERY"" алюминий GAL0313 (10)  ",шт,Алматы,-17
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200787_,"G004 Выкл. 2 кл 10А механизм ""ARTGALLERY"" алюминий GAL0351 (10)  ",шт,Алматы,-9
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200788_,"G005 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" алюминий GAL0353 (10)  ",шт,Алматы,-19
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200789_,"G006 Роз. комп. RJ45 6A механизм ""ARTGALLERY"" алюминий GAL0386 (5)  ",шт,Алматы,-9
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200790_,"G007 Переключ. 1 кл механизм ""ARTGALLERY"" алюминий GAL0361 (10)    ",шт,Алматы,-8
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200791_,"G008 Перекрест. переключ. 1 кл ""ARTGALLERY"" алюминий GAL0371 (5)   ",шт,Алматы,-10
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200794_,"G011 Роз. TV оконечная механизм ""ARTGALLERY"" алюминий GAL0391 (5)   ",шт,Алматы,-10
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200795_,"G012 Рамка 1-ная ""ARTGALLERY"" алюминий GAL0301 (20)    ",шт,Алматы,-43
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200796_,"G013 Рамка 2-ная ""ARTGALLERY"" алюминий GAL0302 (10)    ",шт,Алматы,-13
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200797_,"G014 Рамка 3-ная ""ARTGALLERY"" алюминий GAL0303 (5)    ",шт,Алматы,-13
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200798_,"G015 Рамка 4-ная ""ARTGALLERY"" алюминий GAL0304 (5)    ",шт,Алматы,-7
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200799_,"G016 Рамка 5-ная ""ARTGALLERY"" алюминий GAL0305 (5)    ",шт,Алматы,-10
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200800_,"G017 Переключ. 2 кл механизм ""ARTGALLERY"" алюминий GAL0365 (10)    ",шт,Алматы,-9
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200803_,"G020 Роз. с з/к с/ш с крышкой 16A механизм IP44 ""ARTGALLERY"" алюминий GAL440346 (10) ",шт,Алматы,-9
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200804_,"G021 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" алюминий GAL0315 (5)  ",шт,Алматы,-9
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200805_,"G022 Вывод кабеля механизм ""ARTGALLERY"" алюминий GAL0399 (5)   ",шт,Алматы,-10
02.09.2024 10:03:18,20000094396,Расходная накладная 20000094396 от 02.09.2024,300200806_,"G023 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" алюминий GAL0389 (5)  ",шт,Алматы,-9
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200810_,"G027 Роз. с з/к механизм 16A ""ARTGALLERY"" шампань GAL0543 (10)   ",шт,Алматы,-80
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200812_,"G029 Выкл. 1 кл 10А ""ARTGALLERY"" шампань GAL0511 (10)   ",шт,Алматы,-30
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200814_,"G031 Выкл. 2 кл 10А механизм ""ARTGALLERY"" шампань GAL0551 (10)  ",шт,Алматы,-18
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200816_,"G033 Роз. комп. RJ45, 6A механизм ""ARTGALLERY"" шампань GAL0586 (5)  ",шт,Алматы,-7
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200817_,"G034 Переключ. 1 кл механизм ""ARTGALLERY"" шампань GAL0561 (10)    ",шт,Алматы,-20
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200818_,"G035 Перекрест. переключ. 1 кл ""ARTGALLERY"" шампань GAL0571 (5)   ",шт,Алматы,-9
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200820_,"G037 Роз. TV оконечная 1DB механизм ""ARTGALLERY"" шампань GAL0591 (5)  ",шт,Алматы,-12
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200821_,"G038 Рамка 1-ная ""ARTGALLERY"" шампань GAL0501 (20)    ",шт,Алматы,-73
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200822_,"G039 Рамка 2-ная ""ARTGALLERY"" шампань GAL0502 (10)    ",шт,Алматы,-30
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200823_,"G040 Рамка 3-ная ""ARTGALLERY"" шампань GAL0503 (5)    ",шт,Алматы,-20
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200824_,"G041 Рамка 4-ная ""ARTGALLERY"" шампань GAL0504 (5)    ",шт,Алматы,-40
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200825_,"G042 Рамка 5-ная ""ARTGALLERY"" шампань GAL0505 (5)    ",шт,Алматы,-4
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200826_,"G043 Переключ. 2 кл механизм ""ARTGALLERY"" шампань GAL0565 (10)    ",шт,Алматы,-4
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200829_,"G046 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" шампань GAL0589 (5)  ",шт,Алматы,-10
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200833_,"G050 Выкл. 1 кл 10А ""ARTGALLERY"" лотос GAL1311 (5)   ",шт,Алматы,-45
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200840_,"G057 Перекрест. переключ. 1 кл ""ARTGALLERY"" лотос GAL1371 (5)   ",шт,Алматы,-10
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200842_,"G059 Роз. с з/к 16А механизм ""ARTGALLERY"" лотос GAL1343 (5)   ",шт,Алматы,-100
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200845_,"G062 Роз. TV оконечная механизм ""ARTGALLERY"" лотос GAL1391 (5)  ",шт,Алматы,-25
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200847_,"G064 Рамка 2-ная ""ARTGALLERY"" лотос GAL1302 (5)    ",шт,Алматы,-42
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200848_,"G065 Рамка 3-ная ""ARTGALLERY"" лотос GAL1303 (5)    ",шт,Алматы,-26
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200849_,"G066 Рамка 4-ная ""ARTGALLERY"" лотос GAL1304 (5)    ",шт,Алматы,-16
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200850_,"G067 Рамка 5-ная ""ARTGALLERY"" лотос GAL1305 (5)    ",шт,Алматы,-4
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200854_,"G071 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" лотос GAL1389 (5)  ",шт,Алматы,-10
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200856_,"G073 Роз. с з/к 16А механизм ""ARTGALLERY"" карбон GAL1043 (5)   ",шт,Алматы,-28
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200857_,"G074 Выкл. 1 кл 10А ""ARTGALLERY"" карбон GAL1011 (5)   ",шт,Алматы,-10
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200859_,"G076 Выкл. 2 кл 10А механизм ""ARTGALLERY"" карбон GAL1051 (5)   ",шт,Алматы,-5
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200862_,"G079 Переключ. 1 кл механизм ""ARTGALLERY"" карбон GAL1061 (5)    ",шт,Алматы,-28
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200869_,"G086 Рамка 2-ная ""ARTGALLERY"" карбон GAL1002 (5)    ",шт,Алматы,-36
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200871_,"G088 Рамка 4-ная ""ARTGALLERY"" карбон GAL1004 (5)    ",шт,Алматы,-14
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200872_,"G089 Рамка 5-ная ""ARTGALLERY"" карбон GAL1005 (5)    ",шт,Алматы,-5
02.09.2024 10:06:02,20000094407,Расходная накладная 20000094407 от 02.09.2024,300200873_,G090 Переключ. 2 кл механизм карбон GAL1065 (5)    ,шт,Алматы,-10
06.09.2024 16:01:37,20000097186,Расходная накладная 20000097186 от 06.09.2024,300200810_,"G027 Роз. с з/к механизм 16A ""ARTGALLERY"" шампань GAL0543 (10)   ",шт,Алматы,-13
06.09.2024 16:01:37,20000097186,Расходная накладная 20000097186 от 06.09.2024,300200812_,"G029 Выкл. 1 кл 10А ""ARTGALLERY"" шампань GAL0511 (10)   ",шт,Алматы,-13
06.09.2024 16:01:37,20000097186,Расходная накладная 20000097186 от 06.09.2024,300200814_,"G031 Выкл. 2 кл 10А механизм ""ARTGALLERY"" шампань GAL0551 (10)  ",шт,Алматы,-20
06.09.2024 16:01:37,20000097186,Расходная накладная 20000097186 от 06.09.2024,300200816_,"G033 Роз. комп. RJ45, 6A механизм ""ARTGALLERY"" шампань GAL0586 (5)  ",шт,Алматы,-10
06.09.2024 16:01:37,20000097186,Расходная накладная 20000097186 от 06.09.2024,300200817_,"G034 Переключ. 1 кл механизм ""ARTGALLERY"" шампань GAL0561 (10)    ",шт,Алматы,-4
06.09.2024 16:01:37,20000097186,Расходная накладная 20000097186 от 06.09.2024,300200818_,"G035 Перекрест. переключ. 1 кл ""ARTGALLERY"" шампань GAL0571 (5)   ",шт,Алматы,-7
